
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:29:BD:21:BD:9F, 2024-06-13 18:51:57, 2024-06-13 18:59:58,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:7E:64:F2:D7:D8, 2024-06-13 18:50:29, 2024-06-13 19:00:25, 11, 195, WPA2, CCMP, PSK, -76,       34,        3,   0.  0.  0.  0,  14, vodafoneAAAT81, 
74:93:DA:38:D0:FF, 2024-06-13 18:50:11, 2024-06-13 19:00:00,  6, 648, WPA2, CCMP, PSK, -79,      113,        0,   0.  0.  0.  0,  19, MOVISTAR-WIFI6-D0F0, 
10:62:D0:8C:65:8E, 2024-06-13 18:50:32, 2024-06-13 18:59:57, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -82,       60,        8,   0.  0.  0.  0,   8, Familyma, 
44:FF:BA:2D:94:0D, 2024-06-13 18:50:15, 2024-06-13 19:00:01, 12, 130, WPA2 WPA, CCMP, PSK, -83,        5,        3,   0.  0.  0.  0,  14, MIWIFI_2G_4iJS, 
D4:B9:2F:36:9C:00, 2024-06-13 18:50:19, 2024-06-13 19:00:01,  1, 195, WPA2, CCMP, PSK, -84,        1,        1,   0.  0.  0.  0,  14, vodafoneAA1YAZ, 
34:49:5B:8E:0D:16, 2024-06-13 18:50:23, 2024-06-13 19:00:01,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -84,       14,        0,   0.  0.  0.  0,  12, vodafone0D10, 
A4:08:F5:E6:0D:76, 2024-06-13 18:50:55, 2024-06-13 19:00:01,  1, 195, WPA2 WPA, CCMP TKIP, PSK, -85,        7,        0,   0.  0.  0.  0,  12, vodafone0D70, 
F4:69:42:41:56:FF, 2024-06-13 18:51:31, 2024-06-13 19:00:01,  1, 130, WPA2, CCMP, PSK, -86,        6,        0,   0.  0.  0.  0,  13, MOVISTAR_56F0, 
44:AD:B1:C9:FC:5E, 2024-06-13 18:51:08, 2024-06-13 18:59:49, 11, 195, WPA2, CCMP, PSK, -81,       45,        0,   0.  0.  0.  0,   7, Belmira, 
FC:34:97:B3:07:50, 2024-06-13 18:50:35, 2024-06-13 18:59:45,  9,  -1, WPA, ,   , -85,        0,        5,   0.  0.  0.  0,   0, , 
CC:ED:DC:79:0F:40, 2024-06-13 18:55:02, 2024-06-13 18:59:49, 11, 130, WPA2, CCMP, PSK, -86,        6,        0,   0.  0.  0.  0,  13, MOVISTAR_0F40, 
30:B5:C2:22:8E:FE, 2024-06-13 18:59:34, 2024-06-13 18:59:34,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:FD:74:A6:73:AC, 2024-06-13 18:50:59, 2024-06-13 18:59:33,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E4:AB:89:23:B1:0B, 2024-06-13 18:50:12, 2024-06-13 18:59:32,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
60:8D:26:F6:CA:54, 2024-06-13 18:50:40, 2024-06-13 18:59:32,  1, 195, WPA2, CCMP, PSK, -86,        4,        6,   0.  0.  0.  0,  13, Livebox6-CA55, 
D8:E8:44:B2:2A:00, 2024-06-13 18:50:42, 2024-06-13 18:59:23,  3, 324, WPA2, CCMP, PSK, -85,        4,        0,   0.  0.  0.  0,  14, DIGIFIBRA-kb4T, 
9C:A5:70:3F:A0:05, 2024-06-13 18:52:46, 2024-06-13 18:59:10,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
84:AA:9C:A9:AA:85, 2024-06-13 18:50:22, 2024-06-13 18:59:10,  6, 130, WPA2, CCMP, PSK, -84,       39,        5,   0.  0.  0.  0,  13, MOVISTAR_AA84, 
64:CC:22:F6:78:C8, 2024-06-13 18:51:01, 2024-06-13 18:59:13, 11, 130, WPA2, CCMP, PSK, -86,       31,        4,   0.  0.  0.  0,  12, MiFibra-78C6, 
A8:02:DB:02:13:6C, 2024-06-13 18:50:17, 2024-06-13 18:59:13, -1,  -1, , ,   , -86,        0,        0,   0.  0.  0.  0,   0, , 
08:F4:58:97:4F:10, 2024-06-13 18:52:22, 2024-06-13 18:58:47,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:DE:7C:53:C1:1F, 2024-06-13 18:58:34, 2024-06-13 18:58:34,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
